jugador,cfn_id,personaje,pais,mr
Adriansote,2887875503,Kimberly,Venezuela,1638
PatolioDuck,4088228686,Guile,Chile,1638
litros_wolf,4144152824,Marisa,Brasil,1637
Aristal,1392776695,Ken,Brasil,1637
PyNe,4283751993,Rashid,Brasil,1636
wilLziK33,2254838501,Dee Jay,Brasil,1636
Zangief_Zangado,2196780110,Zangief,Brasil,1635
Lucena,2455467963,JP,Venezuela,1634
FGCFABINHO,4014947972,Zangief,Brasil,1634
MiniBomba,2241720179,Kimberly,Brasil,1634
AstonishingAce,1284793370,Ken,Brasil,1634
VS_Tiago,4275700885,Dhalsim,Brasil,1633
BrandonHeat77,1229890165,A.K.I.,Brasil,1633
alissonmetroid,4102774594,Zangief,Brasil,1632
Mr. D,3982215984,Chun-Li,Brasil,1632
Selmo,3356146496,Jamie,Brasil,1632
YellowOrder,2702794163,Lily,Brasil,1632
RonaldinhoBR,1589295724,Dee Jay,Brasil,1632
Totsugeki,4061266942,E. Honda,Venezuela,1630
Matsuda,2430463396,A.K.I.,Brasil,1630
Capixo,1388365915,Dee Jay,Brasil,1630
gishac,3039569313,Ken,Ecuador,1630
Lokaum_Fighter,1535570171,Ryu,Brasil,1630
gfgfelix,4279629216,Cammy,Brasil,1629
Mauvri,2823739328,Dhalsim,Chile,1629
Beto,1892161590,JP,Brasil,1629
Hunter,3508961057,Chun-Li,Brasil,1629
Predador,1652697113,Cammy,Brasil,1628
sr_papa,2605605360,JP,Chile,1628
BILLSDESTRUIDOR,1034185530,E. Honda,Brasil,1628
bronze player,1974218028,Luke,Brasil,1628
Aristal,1392776695,Luke,Brasil,1628
Freduba,2453186922,Marisa,Brasil,1628
YellowOrder,2702794163,A.K.I.,Brasil,1628
BLK_Kheios,2432815693,Ken,Chile,1628
EDERGUI,1129087297,JP,Brasil,1627
GustavoPage,2108969751,JP,Brasil,1627
iPeru,3823510405,Lily,Perú,1627
KillerXinok,1014047345,Kimberly,Brasil,1626
GlitchRez,2118459805,Guile,Brasil,1626
Mimam,2601439854,Cammy,Brasil,1625
NovaChrono,3195497815,JP,Brasil,1625
Akatsuki,2872530364,Luke,Brasil,1625
TonexBR,4207888929,Marisa,Brasil,1625
hisoka-rx,1214907101,Cammy,Chile,1624
Ryuzlin,1596710667,Cammy,Brasil,1624
deathblooms,3981356364,Dhalsim,Brasil,1624
wes-,2262826960,Ken,Brasil,1624
Alekof,3538872394,Cammy,Brasil,1623
BiscoitoCremoso,1703407715,A.K.I.,Brasil,1623
ShoguNRJ,3921919211,Cammy,Brasil,1622
JHONYGAMERSF6,3139947089,JP,Brasil,1622
ArcHighwind,2844960367,Manon,Brasil,1622
Moipes,2433511334,Manon,Chile,1622
thiaguinhor9,3702865818,Kimberly,Brasil,1622
DinosauriofXD,2565834058,Kimberly,Perú,1622
Loro_Cb7,3943059783,Kimberly,Brasil,1622
PekoraTeAmo,1417319009,Kimberly,Chile,1622
OzaruEs,1584456033,Luke,Perú,1622
Calango Jedi,1896993406,Marisa,Brasil,1622
Sagaizin,3741857983,Marisa,Brasil,1622
KDashRLZ,1059703471,Juri,Brasil,1622
carimbódasorte,2429513486,Dee Jay,Brasil,1622
Old-Trussi,1355455385,Cammy,Paraguay,1621
Mimam,2601439854,Luke,Brasil,1621
[TIER]AlmaNegra,1209083998,Rashid,Brasil,1621
LucasHnt,2553158560,JP,Brasil,1620
PX ZAITO240,2370403352,Kimberly,Colombia,1620
Oskar Mike CL,1176697476,E. Honda,Chile,1620
Gadfort,2521227672,Marisa,Brasil,1620
Kbzon,3641853287,Ken,Chile,1620
Math River,2749826679,Chun-Li,Brasil,1619
EL PIRULO,2914363541,E. Honda,Chile,1619
goticlolita,2608597332,Blanka,Brasil,1619
Jorgito_VF,1815870907,JP,Chile,1618
Reina Rata,3281789916,E. Honda,Chile,1618
Greasy Feet,2015721062,Dee Jay,Brasil,1618
NFMS_Sstrato,2991495581,JP,Chile,1617
CoffinJack,3599532340,Manon,Brasil,1617
Lucas Vargas,3019960209,Guile,Brasil,1617
DJretranqueiro,3187782476,Dee Jay,Brasil,1617
